Word,Total,monthValue
kurdish,49,:::1::4:1:::2::4::1:1:::1:1::::1::2:1:4:::::2:1:::1:2:1:1:3:::::1::::::1::::::1:1::::1:1:::::1:::::2::::::::::::::::::::::::1::::::::::1:::::::::::2::::1
russians,47,1:::::2:1::1:1::::1::::::::1::1:1:2:1:::2:2::::2:1::1::1:1:1:1:::2:1:::::2:1::2:::1:::::::1:1::1::::::1::::1::::::::::::1:1:::::::::::::::1:2::::::3
nobel peace prize,47,:1:1::1::::::1:2::1::::1::::1::1:1::::1::2:2::::3::2:1:3::1:1:2::::1::1::1:::::1::1:::2::::::2::1:::::::2:::1::::::::::1:1:::::::::1::::::::::1::::::::::1
libyan,47,::::::1:::::::::1:::2::::::::::::::3:::::::::::::1:::::::1:::::2:1::::1:2:::1::1:::::::2:12:3:2:1::1::1::::::1:::::1::1:::1::::::::::::::::::3:1
west,44,::::1::1:2:::1::::4:1:1:3::::1:4::1:1:3:::1:1:::::2:1::::::::1:2:1::::::::1::1::1:::::1:1:1:::1:::::::::::::::::::::::1::::::::::1:::::::::::1:::::::::::1
germans,43,::2:::1:2::2::5:::1:1:::::3:1::::::::1::1::::1:::1:::1::1:2:1::1:::1:1::::2:::::::::1:1:1::1:1::::::::1:::::1:::::::::::2::::::1::::::::::::1
philippine,43,::::1:1::::::1:1:::1:::1:::::1::1:5:::::::1:1:1::::::::1:1:::::3:3:3:2::::1:1:1:::2:::1::::::1:::::::::1:1::::1:::::::::1:1::::1::::::::::::::::::::1
saudi,43,::::1:1:1::1:1:1:1:::2:::1::1:1::2::1:::::1:1:1:::1:2:2::3::::::::::3:1::1:::1::::1::2:1::1:1::::::::::::2:1:::1:::1
islam,43,:::::::1::::::1::2:::1:::2:2::2:1:::1::3::1::::4:2:2:1:1::1:::::::1::::1:::::1:::::::1::1:1:1::::1:::1:2:1::::::::::::1::::::::::::1::::::::::::::::::::1
olympic games,43,::::::::2::::::::::::::::::1:1::::::1:1::1::::2:2:1:::5::::1::1::::::1::2::::::::::::::::::::1:1:1::::::1:1::2:1:6:1:1::::2:::::::1:::1:::::::1
new zealanders,43,:::::::::1::::1::1:1:1:1:4:1::3::3:7:2:1:2:2:3:::::2:1:1:2::::1::::::::::::::::::::::::::::1::::::::::::::::::::::::::::::::::::1
cuban,42,:1:1:4:1::3:::2:1:::1:1:1:1:::::2:1:::2::1::::::::1::::3:::::2:::::1:::2:::1::::::::::1:::::1:::1:::3::::::::::::1:::::2
games,42,::::::::2:::::::1:1::::::1:::1:::::::1:::::::1::::::::::::::::::2::1::1:::::::::::::::::::1::::::::1:1:::2:9:5::::::1:::::2::1:1::::6
venezuelan,40,::6:2:2:1:::1:1:2:::1:1:1::1::::2:::1::::::1:1:::::1:2:1::3::::::::1:::::1:1::1::::::::1::::2:::::::::::::::::::::::::::::::1:::::1
north american,40,::2::2:2:1::2::1:1:::1::1::::2:1::1:3::::::1::1:2:::::::::1::1:::1::1::::2::::1:1::::1:2:1::::1::::::::::1::::::::::1:::::::::1
europeans,38,2:::1::1:1::1::::2:1:5:1::::1:::1:1:::::::1::2:::1:3:1:1:1::1::::::::::1:::1:1::::::::1::::::::::::::::1:::::::::::::::1:::1:::::::::::::::::::::::1::::1
